Country,Continent,MMR,log_MMR
Turkey,Asia,19.0,2.9444389791664403
Tuvalu,Oceania,,
Tanzania,Africa,556.0,6.320768294250582
Uganda,Africa,387.0,5.958424693029782
Ukraine,Europe,21.0,3.044522437723423
Uruguay,America,18.0,2.8903717578961645
United States,America,18.0,2.8903717578961645
Uzbekistan,Asia,30.0,3.4011973816621555
Saint Vincent and the Grenadines,America,64.0,4.1588830833596715
Venezuela,America,115.0,4.74493212836325
Viet Nam,Asia,45.0,3.8066624897703196
Vanuatu,Oceania,76.0,4.330733340286331
Samoa,Oceania,45.0,3.8066624897703196
Yemen,Asia,169.0,5.1298987149230735
South Africa,Africa,125.0,4.8283137373023015
Zambia,Africa,232.0,5.44673737166631
Zimbabwe,Africa,480.0,6.173786103901937
