Country,Continent,MMR,log_MMR,GDP,HDI,Education_Expenditure,Healthcare_Expenditure,Comparative_Abortion_Index,log_GDP,log_HDI,log_Education_Expenditure,log_Healthcare_Expenditure,log_Comparative_Abortion_Index
Afghanistan,Asia,701.0,6.55250788703459,-0.5839860349513300,-1.539557503789930,-0.7049276572122340,1.252434092351420,-1.2700227651514500,-1.578427978826710,-1.5764781589209200,-0.7005424397544820,1.2531016337179400,-1.348789490861290
Angola,Africa,251.0,5.5254529391317800,-0.47826501067125100,-0.852623786473177,-0.7904318490460990,-1.368016006736240,-1.2700227651514500,-0.4147808422372610,-0.8237462320682570,-0.8218414498165530,-1.8338657704377800,-1.348789490861290
Albania,Europe,15.0,2.70805020110221,-0.442356431248456,0.5542689018122890,-0.6049515283137860,-0.013051648451429600,1.1972052710281000,-0.24401727766231000,0.5745089807417700,-0.5642225290110570,0.16991443446459700,1.0296839500584700
Argentina,America,41.0,3.713572066704310,-0.02778219950684670,0.9043405932317680,0.6782362686938870,1.2957576447442400,-0.4476134197582680,0.6350205855560310,0.8966218612249520,0.8121918529181860,1.2835709185691500,-0.15955277040140600
Armenia,Asia,28.0,3.332204510175200,-0.45443852511074700,0.3627198017892240,-0.9518303944113420,1.2567247271889800,1.1972052710281000,-0.29697717321742000,0.3942082975448390,-1.063919678043860,1.2561343582509100,1.0296839500584700
Antigua and Barbuda,America,43.0,3.7612001156935600,0.017434642717755500,0.5278483157931870,-1.0341412947064500,-0.43373114876223900,-1.2700227651514500,0.6877366371882100,0.5498138138685010,-1.194680467588770,-0.311428716801563,-1.348789490861290
Australia,Oceania,6.0,1.791759469228060,1.7811869212877200,1.4657769067527600,0.4254610415316190,1.2797810590285700,1.1972052710281000,1.6299705158230400,1.3944123859592300,0.5832487235034920,1.2723739844909100,1.0296839500584700
Austria,Europe,5.0,1.6094379124341000,1.253788442426210,1.3138589169379000,0.5028759540046790,1.3440222909175700,1.1972052710281000,1.454554810568480,1.2619100218431000,0.6550922301588450,1.317121579710380,1.0296839500584700
Azerbaijan,Asia,27.0,3.295836866004330,-0.37712460795549400,0.2438278582419140,-0.871830885021046,-0.8436007563989930,1.1972052710281000,-0.011573927988995700,0.2808028033195600,-0.9416780388247670,-0.8788694460198800,1.0296839500584700
Burundi,Africa,568.0,6.342121418721150,-0.5967616576052950,-1.8698139373361600,1.004902469475630,-0.0806233180409361,-0.4476134197582680,-2.0814447534130400,-1.9574370969080300,1.0860275320784400,0.09806726438551750,-0.15955277040140600
Belgium,Europe,5.0,1.6094379124341000,1.1194422130174700,1.4063306707739100,1.0489333867346600,1.486028777868490,1.1972052710281000,1.4018844547065000,1.342752299037330,1.1212351021262400,1.4135217420364600,1.0296839500584700
Benin,Africa,421.0,6.042632833682380,-0.5650543471454080,-1.202695940251760,-0.7503798214572930,-1.3422896928785900,0.3747959256349140,-1.18190772893611,-1.2009527638590100,-0.7644587015593620,-1.7783950946566800,0.5361061155482320
Burkina Faso,Africa,343.0,5.8377304471659400,-0.5823148622107460,-1.9358651712043700,-0.47756242104538800,-0.4853505623449720,0.3747959256349140,-1.5329210501214100,-2.0352277562593200,-0.39841356275476100,-0.37675983306696800,0.5361061155482320
Bangladesh,Asia,200.0,5.298317366548040,-0.556862889726144,-0.7205213187367660,-1.4642273547701100,-1.3274572429091700,-1.2700227651514500,-1.0616380819644300,-0.6846795131010220,-1.9793195251940000,-1.7469158989576800,-1.348789490861290
Bulgaria,Europe,10.0,2.302585092994050,-0.31050626988932100,0.6467407216995970,-0.34475420448098600,0.30410462252154000,1.1972052710281000,0.16613008186598900,0.6605105607092400,-0.23410477963907100,0.4840735667012390,1.0296839500584700
Bahrain,Asia,15.0,2.70805020110221,0.35181510318819600,0.9703918270999740,-1.0239272105393400,-0.5395813087767400,1.1972052710281000,0.9887105494078230,0.9563606214212090,-1.17816555918693,-0.447113612423626,1.0296839500584700
Belarus,Europe,3.0,1.0986122886681100,-0.3574600496820190,0.6665558474702480,0.1356855031730240,-0.15920431892644500,1.1972052710281000,0.045703755894762600,0.6788526175723140,0.29929281004218600,0.012077545694193200,1.0296839500584700
Belize,America,43.0,3.7612001156935600,-0.35006696090922500,-0.020377539590008400,0.4486317376532770,-0.22001597383148700,0.3747959256349140,0.06608663117080170,0.024550976560936300,0.6049187727067010,-0.05636756421059110,0.5361061155482320
Brazil,America,63.0,4.143134726391530,-0.23876639787826200,0.2768534421503660,0.9334038803058410,0.8345187132252930,-0.8588180924548590,0.31768418730667000,0.3124210884018010,1.0280319401558800,0.9403861682401180,-0.6531306049116480
Barbados,America,31.0,3.4339872044851500,0.10713884536316400,0.5278483157931870,0.4625482343334280,0.08870947822119980,0.7860005983315050,0.7819047262365080,0.5498138138685010,0.6178649055614820,0.27468458672132800,0.8005833493535210
Bhutan,Asia,203.0,5.313205979041790,-0.4953429401358100,-0.5553932670919020,0.9318672273318130,-0.9657643932986830,-0.4476134197582680,-0.5132815162534440,-0.5132675529113010,1.026774071783030,-1.0734950310919000,-0.15955277040140600
